NZ_CP011512.1.cluster012	b'59893\n'
NC_007005.1.cluster010	b'205918\n'
NZ_CP016559.1.cluster029	b'1901\n'
NZ_CP022000.1.cluster002	b'287\n'
NZ_CP016914.1.cluster011	b'305\n'
NZ_CP012251.1.cluster006	b'195709\n'
NZ_CP019687.1.cluster005	b'147375\n'
NZ_AP014651.1.cluster001	b'287\n'
NC_013894.1.cluster001	b'638303\n'
NZ_CP010833.1.cluster005	b'1661694\n'
NZ_CP014847.1.cluster004	b'1428\n'
NZ_CP009448.1.cluster003	b'562971\n'
NZ_CP014135.1.cluster006	b'46677\n'
NC_022075.1.cluster001	b'1338518\n'
NZ_CP020424.2.cluster001	b'1496\n'
NZ_CP008861.1.cluster007	b'287\n'
NZ_CP025435.1.cluster002	b'2059875\n'
NZ_CP016638.1.cluster022	b'28450\n'
NZ_CM001373.1.cluster002	b'1094715\n'
NZ_CP019936.1.cluster002	b'1978339\n'
NC_014833.1.cluster001	b'697329\n'
NZ_CP015964.1.cluster014	b'1203599\n'
NC_011770.1.cluster013	b'557722\n'
NC_014814.1.cluster005	b'278137\n'
NZ_CP024422.1.cluster001_0	b'147645\n'
NZ_CM003601.1.cluster007	b'1892\n'
NZ_CP012252.1.cluster002	b'1463165\n'
NZ_CP026692.1.cluster001	b'1618022\n'
NC_009436.1.cluster003	b'399742\n'
NC_021741.1.cluster002	b'1346614\n'
NZ_CP022203.1.cluster017_0	b'1189310\n'
NZ_CP019005.1.cluster001	b'562\n'
NZ_CP019927.1.cluster004	b'615\n'
NZ_CP007155.1.cluster005	b'1449976\n'
NZ_CP014046.2.cluster003	b'670\n'
NZ_LT907988.1.cluster002	b'1851544\n'
NZ_LT629770.1.cluster001	b'199592\n'
NC_018525.1.cluster002	b'1218933\n'
NZ_CM004509.1.cluster002	b'1196095\n'
NC_010572.1.cluster009	b'455632\n'
NZ_CP012830.1.cluster009	b'294\n'
NC_016617.1.cluster002	b'1064539\n'
NZ_CP019779.1.cluster023	b'1961713\n'
NZ_CP016397.1.cluster007	b'1867846\n'
NZ_CP009428.1.cluster003	b'189426\n'
NC_017955.1.cluster002	b'477641\n'
NZ_CP022961.1.cluster013	b'2024580\n'
NZ_LN847264.1.cluster010	b'1649877\n'
NZ_CP016007.1.cluster002	b'562\n'
NZ_CP022685.1.cluster034	b'1616117\n'
NZ_CM000743.1.cluster012	b'64104\n'
NZ_CP020931.1.cluster004	b'1420917\n'
NZ_CP013219.1.cluster033	b'264445\n'
NZ_CP010133.1.cluster003	b'562\n'
NZ_CP018870.1.cluster009	b'234612\n'
NZ_CP009104.1.cluster001	b'562\n'
NC_017911.1.cluster007	b'1037911\n'
NZ_CP015614.1.cluster001	b'588932\n'
NZ_CP022391.1.cluster005	b'1423\n'
NC_021191.1.cluster005_0	b'649831\n'
NC_018681.1.cluster042	b'1133849\n'
NZ_CP012184.1.cluster007	b'1096856\n'
NZ_CP028158.1.cluster015	b'2108470\n'
NZ_CP022223.1.cluster021	b'222805\n'
NZ_AP014879.1.cluster002	b'1620215\n'
NC_011726.1.cluster007	b'41431\n'
NZ_CP021804.1.cluster003	b'382\n'
NZ_CP023992.1.cluster023	b'92644\n'
NC_008611.1.cluster016	b'362242\n'
NC_013595.1.cluster010	b'479432\n'
NZ_CP022345.1.cluster005	b'1428\n'
NZ_CP018863.1.cluster005	b'37928\n'
NZ_CM003194.1.cluster003	b'1249470\n'
NZ_CP026975.1.cluster005	b'2027919\n'
NC_014158.1.cluster001	b'521096\n'
NZ_CP009162.1.cluster006	b'1439852\n'
NZ_CP021748.1.cluster023	b'67267\n'
NZ_CP021070.1.cluster003	b'278153\n'
NZ_CM002803.1.cluster004	b'388467\n'
